Resolution,Server Name,Task Name,Total Applied Changes,Avg Apply Throughput (rec/sec),latency,Total Change Volume
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"132,752",1,"1,420",1.71 GB
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,461,703","3,497","13,195",6.31 TB
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,023,703",14,6,16.43 GB
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,691,167",173,687,23.31 GB
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"30,819,024",333,2,223.74 GB
24-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"73,299,625",769,88,161.50 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"189,560,908","1,884",16,648.44 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"228,309",11,"1,531",2.74 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,947,175","3,459","13,675",6.32 TB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,017,029",24,6,16.28 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"16,067,958",179,685,23.95 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"34,416,022",386,2,249.94 GB
25-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"87,290,019",940,155,190.37 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"161,423,561","2,046",2,559.78 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"264,551",5,"1,557",3.03 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"300,330,504","3,500","14,054",6.33 TB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"988,101",0,6,15.81 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,952,017",156,629,23.88 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"32,898,134",412,2,239.01 GB
26-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"111,956,812","1,329",241,242.05 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"162,118,787","1,792",2,564.12 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"239,257",11,"1,530",2.67 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"300,213,719","3,507","13,882",6.33 TB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,016,796",13,8,16.29 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,970,155",169,709,23.95 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"34,257,672",399,2,249.13 GB
27-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"93,478,373",988,168,204.25 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"202,719,953","2,212",2,704.12 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"216,570",0,"1,545",2.34 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"301,169,948","3,516","14,393",6.35 TB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,200,405",14,10,19.23 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"16,488,094",143,617,24.95 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"42,205,375",478,1,307.85 GB
28-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"94,272,404",752,153,209.12 GB
